session_id,logged,gender,age,home_page_view_time,creation_page_view_time,session_duration_minutes,home_page_frustration_count,creation_page_frustration_count,browser,operating_system,referal_source,date,state,city,has_fantasy_teams,num_sessions_last_month,creation_page_scroll_depth,created_fantasy_team
dd938e32-8a86-11ef-b580-6045cb84ea6c,0,F,34,36,36,58,0,0,Edge,Android,Social media,2024-10-20 07:10:50.946037,Rio de Janeiro,Niteroi,0,58,40,0
dea8e826-8a86-11ef-9a48-6045cb84ea6c,0,M,34,28,38,31,3,0,Edge,Windows,Social media,2024-10-15 06:21:25.763689,Rio de Janeiro,Niteroi,1,5,32,0
ddb7e7b3-8a86-11ef-b632-6045cb84ea6c,0,M,31,54,25,47,1,0,Chrome,macOS,Social media,2024-10-21 05:50:22.184258,Rio de Janeiro,Rio de Janeiro,1,52,45,0
de453632-8a86-11ef-9e20-6045cb84ea6c,0,M,23,11,34,24,0,0,Edge,Windows,Social media,2024-10-18 06:52:28.110327,Minas Gerais,Belo Horizonte,0,39,24,0
ddbf0ef3-8a86-11ef-bd93-6045cb84ea6c,0,M,18,14,7,34,3,0,Edge,Windows,Social media,2024-10-18 05:11:24.231139,Rio de Janeiro,Rio de Janeiro,0,35,98,0
dd241bee-8a86-11ef-9faf-6045cb84ea6c,1,F,23,43,12,20,9,11,Chrome,IOS,Direct,2024-10-18 00:59:57.215660,Rio de Janeiro,Rio de Janeiro,0,49,30,0
de586d09-8a86-11ef-9f14-6045cb84ea6c,0,M,20,59,48,36,0,13,Edge,Android,Social media,2024-10-19 06:23:06.236250,Minas Gerais,Uberlandia,0,29,30,0
dd59e307-8a86-11ef-99a0-6045cb84ea6c,1,F,27,50,46,81,0,2,Edge,Windows,Social media,2024-10-15 06:52:13.568102,Rio de Janeiro,Petropolis,0,15,1,0
de4a0d78-8a86-11ef-a1e7-6045cb84ea6c,1,M,31,9,23,59,0,0,Edge,Android,Social media,2024-10-18 07:32:56.142051,Sao Paulo,Sao Paulo,1,1,61,0
dea8e820-8a86-11ef-8b34-6045cb84ea6c,0,M,18,44,48,36,2,0,Edge,Windows,Search engine,2024-10-18 04:08:55.763689,Rio de Janeiro,Rio de Janeiro,0,36,77,0
dd2cdc59-8a86-11ef-b129-6045cb84ea6c,0,F,32,43,1,54,21,2,Chrome,Windows,Social media,2024-10-18 07:16:59.273019,Sao Paulo,Sao Paulo,1,52,88,0
ddd5e530-8a86-11ef-8f83-6045cb84ea6c,0,M,32,47,10,5,0,0,FireFox,Windows,Social media,2024-10-20 14:11:26.380804,Sao Paulo,Santos,1,40,32,0
